date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:50	14/-1	---M--	308	error ('Permanent%20Redirect')	text/plain		http://abcd9812%40gmail.com:abcdabcd@cash-clone.vercel.app/authentication.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/authentication.0.delayed	(from )
08:57:51	14/-1	---M--	308	error ('Permanent%20Redirect')	text/plain		http://cash-clone.vercel.app/	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/index.html	(from )
08:57:51	14/-1	---M--	308	error ('Permanent%20Redirect')	text/plain		http://cash-clone.vercel.app/robots.txt		(from )
08:57:52	14427/14427	---MCZ	200	added ('OK')	text/html	etag:W/%2208537a0f0fb229e2e710e80e88988a6c%22	https://cash-clone.vercel.app/authentication.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/authentication.html	(from )
08:57:52	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Dec%202025%2003:12:52%20GMT	https://cash-clone.vercel.app/robots.txt		(from )
08:57:52	101894/101894	---M-Z	200	added ('OK')	text/css	etag:%226373d4a6-545d%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	D:/Network%20E/abcd9812@gmail.com/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.2.1/css/all.min.css	(from https://cash-clone.vercel.app/authentication.html)
08:57:53	90480/90480	---MCZ	200	added ('OK')	font/ttf	etag:W/%22a5f578db1433a125df16c04dbc22cfbe%22	https://cash-clone.vercel.app/font/CashSans.ttf	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/font/CashSans.ttf	(from https://cash-clone.vercel.app/authentication.html)
08:57:54	15825/15825	---MCZ	200	added ('OK')	text/html	etag:W/%22eb446f919379d1904df7e9b39a918c99%22	https://cash-clone.vercel.app/subscription.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/subscription.html	(from https://cash-clone.vercel.app/authentication.html)
08:57:54	18391/18391	---MCZ	200	added ('OK')	text/html	etag:W/%2208bced2db27f213b13f2cce6a60f5a27%22	https://cash-clone.vercel.app/pay.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/pay.html	(from https://cash-clone.vercel.app/authentication.html)
08:57:55	69367/69367	---MCZ	200	added ('OK')	text/html	etag:W/%22278c95b6db471408cb46dbdaa7c43126%22	https://cash-clone.vercel.app/home.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/home.html	(from https://cash-clone.vercel.app/subscription.html)
08:57:55	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%2265692999-5512%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	D:/Network%20E/abcd9812@gmail.com/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://cash-clone.vercel.app/pay.html)
08:57:55	1457/1457	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215a0dbe7eaf42f9ba93fae26b9ba578f%22	https://cash-clone.vercel.app/guard.js	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/guard.js	(from https://cash-clone.vercel.app/pay.html)
08:57:55	16432/16432	---MCZ	200	added ('OK')	text/html	etag:W/%22a7f36e2c9d4d73d365813aaa088a6a97%22	https://cash-clone.vercel.app/profile.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/profile.html	(from https://cash-clone.vercel.app/pay.html)
08:57:56	16761/16761	---MCZ	200	added ('OK')	text/html	etag:W/%22d12e99ac73a45ab0fa9f9e6005cb3c84%22	https://cash-clone.vercel.app/card.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/card.html	(from https://cash-clone.vercel.app/pay.html)
08:57:56	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Dec%202025%2003:12:57%20GMT	https://cash-clone.vercel.app/search.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/search.b.delayed	(from https://cash-clone.vercel.app/pay.html)
08:57:57	30674/30674	---MCZ	200	added ('OK')	text/html	etag:W/%225fcaa646bb8f331773864ad9c1c7a65f%22	https://cash-clone.vercel.app/activty.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/activty.html	(from https://cash-clone.vercel.app/pay.html)
08:57:57	35047/35047	---MCZ	200	added ('OK')	text/html	etag:W/%221770f7411caa481adb521defcf0628b4%22	https://cash-clone.vercel.app/contact-pay.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/contact-pay.html	(from https://cash-clone.vercel.app/pay.html)
08:57:58	3011/3011	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b350036f7beda4731b3f31d4b1b0b263%22	https://cash-clone.vercel.app/footer.display.js	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/footer.display.js	(from https://cash-clone.vercel.app/pay.html)
08:57:58	1412/1412	---MCZ	200	added ('OK')	text/css	etag:W/%2299d2312e7be265ff1bccafbca914cdbe%22	https://cash-clone.vercel.app/saving.css	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/saving.css	(from https://cash-clone.vercel.app/home.html)
08:57:58	4661/4661	---M--	200	added ('OK')	image/png	etag:%2223ca0ad90c1bd71c294930e7283def2b%22	https://cash-clone.vercel.app/icons/green_spinner_thick.png	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/icons/green_spinner_thick.png	(from https://cash-clone.vercel.app/home.html)
08:57:59	19760/19760	---MCZ	200	added ('OK')	text/html	etag:W/%22271c6e88f641f18f988795619b9ff758%22	https://cash-clone.vercel.app/savings.html	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/savings.html	(from https://cash-clone.vercel.app/home.html)
08:57:59	19647/19647	---M--	200	added ('OK')	image/jpeg	etag:%22fa0a5cbd835ffa44e1a5e6f1701885d5%22	https://cash-clone.vercel.app/icons/save.jpg	D:/Network%20E/abcd9812@gmail.com/cash-clone.vercel.app/icons/save.jpg	(from https://cash-clone.vercel.app/home.html)
